ID;Brand;Dept;SubDept;Category;SubCategory
1;Gap;;;;
2;Gap;Men;;;
3;Gap;Men;Shirts;;
4;Gap;Men;Shirts;CollarShirt;
5;Gap;Men;Shirts;CollarShirt;Platted
6;Gap;Men;Shirts;CollarShirt;NonPlatted
7;Gap;Men;Shirts;NonColarShirt;
8;Gap;Men;Shirts;NonColarShirt;Sleeve
9;Gap;Men;Shirts;NonColarShirt;SleeveLess
10;Gap;Men;Pants;;
11;Gap;Men;Pants;Straight;
12;Gap;Men;Pants;Straight;LowInSeam
13;Gap;Men;Pants;Straight;HighInSeam
14;Gap;Men;Pants;BootCut;
15;Gap;Men;Pants;BootCut;LowRise
16;Gap;Men;Pants;BootCut;HighRise
17;Gap;Women;;;
18;Gap;Women;Shirts;;
19;Gap;Women;Shirts;CollarShirt;
20;Gap;Women;Shirts;CollarShirt;Platted
21;Gap;Women;Shirts;CollarShirt;NonPlatted
22;Gap;Women;Shirts;NonColarShirt;
23;Gap;Women;Shirts;NonColarShirt;Sleeve
24;Gap;Women;Shirts;NonColarShirt;SleeveLess
25;Gap;Women;Pants;;
26;Gap;Women;Pants;Straight;
27;Gap;Women;Pants;Straight;LowInSeam
28;Gap;Women;Pants;Straight;HighInSeam
29;Gap;Women;Pants;BootCut;
30;Gap;Women;Pants;BootCut;LowRise
31;Gap;Women;Pants;BootCut;HighRise
32;Gap;Kids;;;
33;Gap;Kids;Tops;;
34;Gap;Kids;Tops;Tees;
35;Gap;Kids;Tops;Tees;Sleevless
36;Gap;Kids;Tops;Tees;hoodies
37;Gap;Kids;Tops;BodySuits;
38;Gap;Kids;Tops;BodySuits;soft
39;Gap;Kids;Tops;BodySuits;feather
40;Gap;Kids;SleepWear;;
41;Gap;Kids;SleepWear;Cotton;
42;Gap;Kids;SleepWear;Cotton;ZipFront
43;Gap;Kids;SleepWear;Cotton;Knot
44;Gap;Kids;SleepWear;OrganicCotton;
45;Gap;Kids;SleepWear;OrganicCotton;Zip
46;Gap;Kids;SleepWear;OrganicCotton;easywear
