parent_code,code,name,description
fitness,gear,Gear,Gear
fitness,bags,Bags,Bags
fitness,fitness-equipment,Fitness Equipment,Fitness Equipment
fitness,watches,Watches,Watches
fitness,collections,Collections,Collections
fitness,yoga-new,Yoga,Yoga
fitness,training,Fitness Training ,Fitness Training 
fitness,training-video,Fitness Videos,Fitness Videos
mtops,jackets,Jackets,Jackets
wbottoms,jeans,Jeans,Jeans
wtops,skirts,Designer Skirts,Designer Skirts
mtops,tees,Graphic and Polo Tees,Graphic and Polo Tees
mbottoms,joggers,Joggers,Joggers
kbottoms,swimwear,Swim Suits,Swim Suits
ktops,graphic-tees,Graphics,Graphics
kitchen,makers,Blenders and Coffee Machine,Blenders and Coffee Machine
books,multishelf,High Shelf,High Shelf
